unique_id,transaction_id,unformatted_date,customer_id,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
85802,20180523|981|1|1|2735703,8/16/18,NA,10133,DM BOMB BURR RED CHILI 14OZ,33,Pkg Sand - Burritos (118),292,Packaged Sandwiches,26,480,981 Fort Cobb,408 N Hazlett St,Fort Cobb,73038,35.099,-98.4358,ACTIVE,3.19,1.57,1.62,1
1775083,20190831|973|6|3|5652006,11/24/19,NA,6681,GATOR G2 GRP 28OZ,252,Sports Drinks,150,Juice/tonics,132,476,973 Lafayette,603 S Public Rd,Lafayette,80026,39.9932,-105.091,ACTIVE,2.69,1.54345,1.14655,1
143740,20170208|386|1|2|1949619,5/4/17,NA,3307,L&M BX,207,Cig-off Inv-discount (442),11,Off Invoice Cigs (104),27,156,386 Gravette,613 Main St Sw,Gravette,72736,36.4217,-94.4614,ACTIVE,5.19,0.13731,5.05269,1
2614988,20181203|887|3|1|5526979,2/26/19,NA,2179,HOT DOG FCS,280,Roller Grill Food,279,Roller Grill,9,418,887 Greenfield,100 Madison St,Greenfield,73043,35.7276,-98.3789,ACTIVE,2.69,1.346,1.344,2
2855537,20190222|146|3|2|6583093,5/18/19,NA,5628,LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,33,146 Bella Vista,1750 Forest Hills Blvd,Bella Vista,72715,36.4649,-94.302,ACTIVE,1.59,1.030271,0.559729,1
2085383,20181227|867|1|100|3276269,3/21/19,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,401,867 Caney,200 W Main St,Caney,74533,34.2321,-96.2133,ACTIVE,31,5.0841,25.9159,16.947
2788089,20180825|561|5|4|7912426,11/18/18,NA,10468,X-LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,296,561 Gardendale,890 Odum Road,Gardendale,35071,39.8873,-94.8933,ACTIVE,1,0.028555,0.971445,1
284033,20181106|435|1|2|3462332,1/30/19,494.868,523,PEPSI CHRY VNL 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,199,435 Golden City,519 Main St,Golden City,64748,37.3929,-94.0928,ACTIVE,1.58,0.465,1.115,1
2277642,20190103|551|1|100|3937756,3/29/19,1438.718,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,287,551 Ashland,131 E Broadway,Ashland,65010,38.7749,-92.2606,ACTIVE,40.01,7.0233,32.9867,23.411
697491,20171117|146|3|1|5457711,2/10/18,NA,6626,SMALL FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,33,146 Bella Vista,1750 Forest Hills Blvd,Bella Vista,72715,36.4649,-94.302,ACTIVE,1.29,0.835944,0.454056,1
